[C@@]12(C3NC3CN1C1=C([C@H]2COC(=O)N)C(=O)C(=C(C1=O)C)N)OC;2.2650;1
c1cccc(c1)C1(CC)NC(=O)N(C1=O)C;2.8380;2
C[C@@]12C(/C(=C/C=C/3\C(=C)CC[C@@H](C3)O)/CCC1)CC[C@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C;1.9770;3
ClCCN(CCCl)P1(=O)NCCCO1;1.8230;4
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl;1.9100;5
O=C1N(c2ccccc2)N(C(=O)C1CCCC)c1ccccc1;2.0110;5
N1(C(=O)c2c(C1=O)cccc2)C1C(=O)NC(=O)CC1;1.7050;5
[nH]1cnc2c1c(=S)[nH]cn2;3.9020;5
N1(CCCNC)c2c(CCc3c1cccc3)cccc2;1.9550;5
c1ccc2c(c1)CCc1c(C2=CCCN(C)C)cccc1;1.6260;5
C1c2c(N(c3c(C1)cccc3)CCCN(C)C)cccc2;1.4820;5
c1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)ccc(c1)SC;1.5940;5
c1cc2c(cc1)N(CCCN(C)C)c1c(S2)ccc(c1)Cl;3.0220;5
c12[nH]c3c(c1CCN1C2CC2C(C1)C[C@H]([C@@H]([C@H]2C(=O)OC)OC)OC(=O)c1cc(c(c(c1)OC)OC)OC)ccc(c3)OC;2.0120;5
N12C(=O)[C@H](C1SCC(=C2C(=O)[O-])C[n+]1ccccc1)NC(=O)Cc1sccc1;1.6780;5
C(=O)(c1c(ccc(c1)Cl)O)Nc1c(cc(cc1)[N+](=O)[O-])Cl;1.9440;5
[C@H]([C@@H]([C@@H](O)CO)O)([C@H](O)CO)O;2.4010;5
C1(=O)NC(=O)C(=O)C(=O)N1;2.4520;5
OC(=O)c1c(cccc1)OC(=O)C;1.4660;5
[C@@H]1(OC(=O)C(=C1O)O)[C@H](CO)O;2.1440;5
n1(c(=O)[nH]c(=O)c(c1)F)[C@@H]1O[C@@H]([C@H](C1)O)CO;3.0220;5
O[C@H]1[C@H](O)[C@@H](CO)OC([C@@H]1O)O;1.4930;5
CCCc1cc2c(cc1COCCOCCOCCCC)OCO2;1.3580;5
c1c(N)ccc(c1)C(=O)NCCN(CC)CC;3.1360;5
c1nccc(c1)C(=O)NNCCC(=O)NCc1ccccc1;1.2760;5
O(C(OCCOCCOCC)C)c1cc2c(cc1)OCO2;1.1740;5
c1(nc(nc(n1)N1CC1)N1CC1)N1CC1;2.0330;5
O=c1c(c[nH]c(=O)[nH]1)F;3.4910;5
Oc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-];1.4890;5
[C@H]1(C[C@@H]2[C@@H]3[C@H]([C@H](C1)N2C)O3)OC(=O)[C@H](CO)c1ccccc1;1.6520;5
O=c1cc([nH]c(=S)[nH]1)CCC;1.3920;5
C(=O)(C(c1ccccc1)CO)O[C@@H]1C[C@@H]2N([C@@H](C1)CC2)C;1.7480;5
c1c(ccc(c1)Cl)OCC(=O)OCCN(C)C;1.5910;5
NC(=O)OCC;1.8920;5
C1N(C1)P1(=NP(=NP(=N1)(N1CC1)N1CC1)(N1CC1)N1CC1)N1CC1;2.3700;5
[O-][N+](=O)C(Br)(CO)CO;2.0550;5
C(=O)(O)C1(N)CCCC1;2.3220;5
C(CN(CCCC(C#N)(c1cc(c(cc1)OC)OC)C(C)C)C)c1cc(c(cc1)OC)OC;1.7790;5
P(=S)(OCC)(Oc1cc(c(c(c1)C)SC)C)OCC;1.8540;5
O=C(O)C(N)C(C)(C)S;1.7520;5
SC(C)(C)C(N)C(=O)O;2.9530;5
P(=O)(C(C(Cl)(Cl)Cl)O)(OC)OC;1.2740;5
O(P(=S)(OC)OC)c1ccc(cc1)S(=O)(=O)N(C)C;0.6910;5
c1(C2(CCN(CC2)CCCC(=O)c2ccc(cc2)F)O)ccc(cc1)Cl;2.3370;5
C(=O)([C@@H](N)CS)O;3.4320;5
Cc1c(c2c(n1C(=O)c1ccc(cc1)Cl)ccc(c2)OC)CC(=O)O;2.6270;5
c1(c2c(c(=O)n([nH]2)C2CCN(CC2)C)Cc2ccccc2)ccccc1;4.7620;5
n1cccc(c1)C(=O)C(C)(C)c1cnccc1;2.3470;5
